Id,Math,AdvancedMath,Physics,Chemistry,Biology,English,Indonesian,Accepted
1,74.6,85.5,67.1,57.1,60.1,78.6,86.5,1
2,54.4,78.4,57.1,56.3,57.3,75.0,80.9,1
3,81.3,54.2,61.8,83.6,71.6,84.1,93.7,1
4,84.1,42.5,77.5,69.6,69.3,77.8,58.5,0
5,40.7,20.5,68.0,62.0,47.7,86.6,71.3,0
6,50.5,56.8,73.1,72.0,80.6,83.0,69.4,0
7,71.9,100.0,78.1,35.5,64.8,90.3,54.3,1
8,65.3,71.5,62.4,64.4,51.6,76.3,84.6,1
9,69.7,56.6,79.3,93.0,81.5,82.9,71.3,1
10,57.2,72.0,73.7,66.9,74.1,68.3,81.4,0
11,83.2,41.6,49.5,66.0,49.6,64.8,97.6,1
12,81.7,60.5,89.6,72.7,89.1,92.5,70.5,1
13,71.0,66.5,60.5,77.5,74.6,74.6,69.8,1
14,86.9,63.7,43.2,37.0,65.9,81.7,75.2,0
15,77.0,76.9,52.3,41.4,86.7,73.5,83.9,0
16,57.1,70.2,52.7,67.9,68.1,65.0,68.3,0
17,75.5,75.0,68.8,55.0,65.6,72.1,67.7,1
18,55.6,54.7,63.9,83.4,57.4,89.2,84.6,1
19,83.2,78.5,62.9,60.6,73.6,78.7,77.8,0
20,69.3,89.4,77.3,37.9,72.2,51.5,53.6,1
21,67.2,50.4,73.1,47.2,66.2,69.4,61.7,0
22,59.8,51.7,72.7,26.5,55.7,93.4,89.0,0
23,88.3,85.0,74.1,61.7,67.7,69.4,78.0,1
24,67.7,62.1,77.2,62.4,65.1,50.4,66.4,1
25,63.6,86.1,36.4,59.1,48.7,94.7,72.3,0
26,64.7,58.4,62.5,80.1,46.9,80.2,74.1,1
27,78.0,86.8,35.3,81.8,73.3,71.2,81.4,0
28,75.5,67.0,68.5,62.6,32.2,67.5,60.4,1
29,76.2,68.9,67.9,35.1,68.7,85.0,65.6,1
30,76.5,88.5,83.7,73.6,59.8,65.5,76.7,1
31,100.0,59.6,85.8,72.8,83.0,85.8,73.0,0
32,63.9,50.9,71.0,69.3,59.6,78.5,79.7,0
33,62.3,58.3,60.5,78.7,74.6,74.9,61.7,0
34,57.8,71.8,75.3,48.7,60.8,73.7,77.6,0
35,79.2,41.5,60.1,93.1,67.5,69.9,84.9,1
36,86.9,74.6,68.0,51.6,75.6,84.5,78.9,1
37,68.3,56.9,82.8,75.5,60.0,61.6,75.4,0
38,57.4,82.2,59.6,41.4,79.0,52.5,73.0,0
39,57.6,29.1,80.1,52.0,53.1,79.4,65.7,0
