Id,HouseSize,DistanceToCity,HouseAge,SchoolScore,Bedrooms,Price
1,201.4,26.05,2.48,83.59,2,334545.54
2,129.36,31.14,18.33,98.03,5,231072.08
3,219.6,32.32,5.16,68.55,1,311795.78
4,184.93,18.12,6.09,71.25,3,351532.22
5,55.25,18.69,25.29,90.61,5,204863.13
6,244.76,28.2,15.72,75.29,5,388186.77
7,198.65,11.69,36.87,86.83,2,340751.4
8,204.0,29.47,12.77,72.99,4,324793.26
9,62.54,17.8,29.05,60.77,1,120254.25
10,131.83,4.94,18.44,87.26,1,292486.36
11,114.72,3.45,26.4,56.56,2,241302.5
12,234.25,29.63,23.99,59.93,5,352705.48
13,173.43,2.89,18.91,81.34,4,408351.03
14,211.89,10.54,38.0,87.36,3,426949.8
15,130.33,12.36,13.71,94.73,2,282257.19
16,83.86,6.88,7.09,63.63,1,210562.2
17,154.24,11.67,27.12,55.54,2,247190.04
18,48.72,26.25,33.84,97.8,1,106722.98
19,212.94,1.5,1.61,57.72,1,391119.4
20,170.81,29.12,17.99,59.88,4,194450.79
21,197.99,30.12,35.7,64.57,1,229014.64
22,111.22,13.66,29.98,76.47,1,187498.21
23,243.7,6.22,39.67,94.14,3,462042.57
24,227.02,21.43,21.26,88.03,2,372521.73
25,202.35,5.07,26.4,85.41,3,376192.08
26,76.85,13.41,12.1,58.76,1,169533.37
27,135.35,33.59,37.9,67.88,2,125298.81
28,44.42,34.85,14.65,73.92,3,77150.25
29,68.17,27.25,29.54,57.37,4,134167.14
30,181.86,11.57,16.13,63.67,3,335309.86
31,195.12,24.38,22.47,65.42,3,301292.71
32,243.01,24.98,28.79,56.36,3,312484.95
33,105.05,14.19,20.36,77.51,2,189835.77
34,114.65,22.79,36.28,85.25,2,222180.8
35,135.95,1.36,16.77,53.5,3,249838.7
36,75.74,8.11,25.88,74.06,1,159363.29
37,62.93,18.85,13.69,89.11,4,195379.41
38,137.28,6.57,16.33,87.4,4,325384.03
39,83.79,6.64,17.6,90.75,2,227409.91
40,179.01,29.43,5.03,72.41,2,264590.96
41,128.99,34.63,3.67,91.03,2,237513.63
42,214.03,19.9,26.7,62.04,4,312416.76
