iter	Logloss
0	0.6855164863
1	0.6789244963
2	0.6725519691
3	0.666352693
4	0.660162955
5	0.6540921994
6	0.6487395404
7	0.6432362203
8	0.6377260795
9	0.6330507979
10	0.6285043391
11	0.6244482385
12	0.6199344322
13	0.6159108017
14	0.6122284873
15	0.6082656314
16	0.6049739661
17	0.6016365579
18	0.5981186674
19	0.5953907534
20	0.5924221746
21	0.589320356
22	0.5866878579
23	0.584384707
24	0.5820165848
25	0.5794326098
26	0.5771601194
27	0.5750547005
28	0.573158555
29	0.5711286374
30	0.5693123476
31	0.5675089568
32	0.5658877804
33	0.5644400713
34	0.5627171691
35	0.5607986083
36	0.5593301013
37	0.5577200738
38	0.5561863146
39	0.554691021
40	0.5533654894
41	0.5520865945
42	0.5510474169
43	0.5499996134
44	0.5487023395
45	0.5477908824
46	0.5467346208
47	0.5456153892
48	0.544723292
49	0.5436263885
50	0.5424931146
51	0.5415891656
52	0.5406853137
53	0.5397882664
54	0.5388448926
55	0.5381992676
56	0.5374632437
57	0.536818667
58	0.5360175161
59	0.5353620137
60	0.5347877936
61	0.5341771548
62	0.5334135934
63	0.532781585
64	0.5319664843
65	0.5314537148
66	0.5308271803
67	0.5302564363
68	0.529714622
69	0.5291611182
70	0.5286599263
71	0.5282096682
72	0.5278431331
73	0.5273190389
74	0.526838021
75	0.5264049883
76	0.5258170995
77	0.5253601274
78	0.5249537419
79	0.5245025168
80	0.5241862778
81	0.5238317369
82	0.5235570715
83	0.5231103307
84	0.5228082799
85	0.522357189
86	0.5219325961
87	0.5216938011
88	0.5212736029
89	0.5208595841
90	0.5205678881
91	0.5202391119
92	0.5199086398
93	0.5194611931
94	0.5191118852
95	0.5187998418
96	0.5185866387
97	0.518375238
98	0.5181345869
99	0.5179178271
100	0.5175607272
101	0.5173016286
102	0.5169445964
103	0.5166656819
104	0.5163784291
105	0.5160837449
106	0.5156301331
107	0.5153305448
108	0.5149806965
109	0.5147431229
110	0.5144344578
111	0.5142378595
112	0.5140162322
113	0.513703364
114	0.5134897203
115	0.5132084914
116	0.5129471807
117	0.5127770988
118	0.5126532766
119	0.5124117077
120	0.5121944869
121	0.5119914016
122	0.5117533325
123	0.5115739358
124	0.5113828649
125	0.5111542969
126	0.5108737791
127	0.510546704
128	0.5103669357
129	0.5101483997
130	0.5099517014
131	0.5096535711
132	0.5094529271
133	0.5091360994
134	0.5089601319
135	0.50867841
136	0.508401727
137	0.5083459165
138	0.5080956605
139	0.5078601691
140	0.5075296591
141	0.5073781165
142	0.5072864528
143	0.5071170276
144	0.5069028752
145	0.506570544
146	0.5064747757
147	0.5062238447
148	0.5059954963
149	0.5058253955
150	0.5056115936
151	0.5053353445
152	0.5050420413
153	0.5049157859
154	0.5047167589
155	0.5044409474
156	0.5043374834
157	0.5041628511
158	0.5040239847
159	0.5038060333
160	0.5036511399
161	0.5034447314
162	0.5032813848
163	0.5031459609
164	0.5030094058
165	0.5028270226
166	0.502696545
167	0.5025798266
168	0.5024890679
169	0.5022558522
170	0.5020154826
171	0.5017874512
172	0.5016367762
173	0.5015165054
174	0.5012968744
175	0.5010801159
176	0.5008409082
177	0.5006085234
178	0.5004587517
179	0.500266835
180	0.5001067863
181	0.4999199647
182	0.4996717545
183	0.4995885063
184	0.4993659725
185	0.4992763234
186	0.4991695396
187	0.4990596485
188	0.498908797
189	0.4987585543
190	0.4986083392
191	0.4984810047
