iter	Passed	Remaining
0	8	8239
1	12	6414
2	17	5867
3	22	5630
4	27	5567
5	32	5406
6	36	5212
7	40	5050
8	44	4888
9	48	4788
10	52	4746
11	58	4789
12	62	4766
13	66	4717
14	71	4673
15	75	4634
16	79	4606
17	84	4627
18	90	4661
19	95	4660
20	99	4646
21	103	4618
22	108	4603
23	112	4583
24	118	4605
25	122	4594
26	126	4566
27	130	4540
28	135	4522
29	139	4513
30	143	4495
31	147	4472
32	151	4450
33	155	4422
34	159	4400
35	165	4431
36	169	4412
37	173	4397
38	177	4384
39	181	4363
40	185	4345
41	191	4362
42	196	4365
43	200	4347
44	204	4329
45	207	4311
46	211	4297
47	215	4283
48	220	4271
49	224	4267
50	229	4263
51	233	4259
52	237	4251
53	242	4247
54	246	4234
55	250	4222
56	254	4212
57	259	4206
58	262	4194
59	267	4190
60	272	4188
61	276	4178
62	280	4171
63	284	4162
64	289	4158
65	293	4149
66	297	4140
67	301	4132
68	305	4124
69	310	4123
70	314	4112
71	318	4099
72	322	4100
73	327	4094
74	331	4090
75	336	4087
76	340	4081
77	344	4076
78	349	4077
79	354	4074
80	358	4065
81	362	4057
82	366	4047
83	370	4039
84	374	4034
85	378	4025
86	384	4034
87	388	4028
88	392	4020
89	397	4015
90	401	4009
91	405	4002
92	409	3996
93	414	3991
94	418	3983
95	422	3981
96	427	3975
97	431	3968
98	436	3968
99	440	3961
100	444	3953
101	448	3944
102	452	3936
103	456	3931
104	460	3925
105	464	3918
106	468	3910
107	472	3904
108	477	3899
109	481	3894
110	485	3889
111	489	3884
112	494	3878
113	498	3870
114	502	3865
115	506	3861
116	511	3861
117	516	3862
118	520	3855
119	525	3850
120	529	3843
121	533	3837
122	537	3831
123	541	3825
124	545	3819
125	550	3819
126	555	3821
127	560	3818
128	564	3814
129	569	3810
130	573	3807
131	578	3803
132	582	3799
133	587	3793
134	591	3787
135	595	3782
136	599	3778
137	605	3785
138	610	3781
139	614	3776
140	619	3774
141	624	3770
142	628	3765
143	632	3760
144	636	3755
145	641	3749
146	646	3748
147	651	3750
148	655	3745
149	660	3741
150	665	3741
151	670	3740
152	674	3734
153	679	3735
154	684	3731
155	689	3729
156	693	3723
157	697	3718
158	702	3713
159	706	3708
160	710	3702
161	714	3695
162	718	3690
163	723	3689
164	728	3686
165	733	3683
166	737	3679
167	741	3673
168	745	3667
169	749	3661
170	753	3655
171	758	3649
172	762	3644
173	766	3638
174	770	3632
175	775	3629
176	780	3626
177	785	3628
178	790	3627
179	795	3623
180	800	3623
181	806	3623
182	811	3621
183	817	3623
184	822	3624
185	828	3624
186	832	3618
187	836	3613
188	840	3607
189	844	3602
190	850	3600
191	854	3594
192	858	3587
193	862	3582
194	866	3576
195	870	3570
196	874	3565
197	879	3560
198	883	3555
199	887	3550
200	891	3545
201	897	3546
202	902	3543
203	907	3539
204	911	3534
205	915	3527
206	919	3521
207	924	3518
208	928	3513
209	932	3507
210	937	3506
211	941	3500
212	945	3494
213	949	3488
214	954	3483
215	958	3477
216	962	3474
217	967	3468
218	972	3468
219	976	3463
220	981	3458
221	985	3452
222	990	3450
223	995	3450
224	1001	3450
225	1007	3450
226	1013	3450
227	1017	3445
228	1023	3444
229	1028	3443
230	1033	3441
231	1037	3435
232	1042	3430
233	1046	3424
234	1050	3419
235	1054	3413
236	1058	3408
237	1063	3406
238	1068	3400
239	1072	3394
240	1076	3389
241	1080	3383
242	1084	3377
243	1088	3372
244	1092	3367
245	1098	3365
246	1102	3361
247	1106	3355
248	1110	3349
249	1115	3346
250	1119	3341
251	1123	3335
252	1128	3331
253	1132	3326
254	1136	3321
255	1141	3317
256	1145	3311
257	1150	3308
258	1155	3304
259	1159	3299
260	1163	3295
261	1168	3292
262	1173	3287
263	1178	3284
264	1182	3278
265	1185	3272
266	1190	3267
267	1194	3262
268	1198	3257
269	1202	3251
270	1207	3247
271	1211	3241
272	1215	3237
273	1220	3233
274	1225	3230
275	1229	3225
276	1234	3221
277	1238	3216
278	1243	3214
279	1248	3210
280	1252	3205
281	1256	3200
282	1261	3195
283	1265	3189
284	1269	3185
285	1274	3181
286	1278	3177
287	1283	3174
288	1289	3171
289	1294	3170
290	1299	3165
291	1305	3164
292	1312	3167
293	1317	3163
294	1321	3158
295	1326	3153
296	1331	3152
297	1338	3151
298	1343	3149
299	1348	3146
300	1353	3144
301	1359	3142
302	1365	3141
303	1370	3138
304	1376	3137
305	1382	3136
306	1387	3131
307	1393	3130
308	1399	3128
309	1405	3127
310	1410	3125
311	1415	3121
312	1420	3117
313	1424	3113
314	1429	3108
315	1434	3104
316	1438	3099
317	1443	3095
318	1447	3091
319	1452	3086
320	1456	3081
321	1461	3077
322	1465	3072
323	1470	3068
324	1475	3063
325	1479	3058
326	1483	3053
327	1489	3050
328	1494	3047
329	1498	3042
330	1502	3037
331	1507	3032
332	1511	3027
333	1515	3022
334	1520	3017
335	1524	3012
336	1528	3007
337	1532	3002
338	1537	2997
339	1541	2992
340	1545	2987
341	1550	2982
342	1555	2978
343	1560	2975
344	1564	2970
345	1570	2968
346	1575	2964
347	1579	2960
348	1584	2955
349	1588	2950
350	1593	2945
351	1597	2940
352	1602	2936
353	1606	2931
354	1611	2927
355	1615	2922
356	1620	2917
357	1624	2913
358	1629	2909
359	1634	2905
360	1639	2902
361	1643	2897
362	1647	2891
363	1652	2886
364	1657	2883
365	1662	2879
366	1666	2874
367	1671	2870
368	1676	2866
369	1681	2862
370	1685	2857
371	1689	2852
372	1694	2847
373	1698	2842
374	1702	2838
375	1707	2833
376	1711	2828
377	1717	2826
378	1722	2822
379	1727	2817
380	1732	2814
381	1736	2809
382	1741	2805
383	1746	2801
384	1751	2797
385	1756	2794
386	1762	2791
387	1766	2786
388	1772	2783
389	1776	2778
390	1781	2774
391	1785	2769
392	1790	2764
393	1794	2759
394	1798	2755
395	1803	2750
396	1807	2745
397	1812	2741
398	1817	2737
399	1822	2733
400	1827	2729
401	1831	2725
402	1836	2720
403	1840	2715
404	1845	2711
405	1849	2705
406	1853	2701
407	1858	2696
408	1862	2690
409	1866	2685
410	1870	2680
411	1875	2676
412	1879	2671
413	1884	2667
414	1889	2663
415	1893	2658
416	1897	2653
417	1901	2648
418	1906	2643
419	1910	2638
420	1915	2634
421	1920	2629
422	1924	2625
423	1929	2620
424	1933	2615
425	1938	2611
426	1943	2607
427	1947	2603
428	1954	2601
429	1959	2596
430	1963	2592
431	1968	2587
432	1972	2583
433	1977	2579
434	1982	2574
435	1986	2569
436	1992	2566
437	1997	2562
438	2001	2558
439	2006	2553
440	2012	2551
441	2017	2546
442	2021	2542
443	2026	2538
444	2031	2533
445	2036	2529
446	2040	2524
447	2045	2520
448	2050	2515
449	2054	2511
450	2059	2507
451	2065	2503
452	2069	2499
453	2074	2494
454	2079	2490
455	2084	2486
456	2088	2481
457	2093	2477
458	2097	2472
459	2102	2467
460	2106	2463
461	2111	2459
462	2116	2454
463	2121	2450
464	2126	2446
465	2131	2442
466	2135	2437
467	2140	2433
468	2145	2428
469	2151	2425
470	2156	2422
471	2162	2419
472	2167	2415
473	2172	2410
474	2178	2407
475	2183	2403
476	2188	2399
477	2193	2395
478	2198	2391
479	2204	2388
480	2210	2384
481	2215	2380
482	2219	2375
483	2224	2371
484	2229	2367
485	2233	2362
486	2238	2358
487	2244	2354
488	2249	2350
489	2253	2345
490	2258	2341
491	2263	2337
492	2268	2332
493	2272	2327
494	2277	2323
495	2282	2318
496	2286	2314
497	2291	2309
498	2295	2304
499	2299	2299
500	2305	2296
501	2310	2291
502	2314	2287
503	2319	2282
504	2324	2278
505	2328	2273
506	2333	2268
507	2338	2264
508	2343	2260
509	2348	2256
510	2353	2252
511	2359	2248
512	2363	2244
513	2369	2240
514	2373	2235
515	2378	2230
516	2383	2226
517	2388	2222
518	2394	2218
519	2399	2214
520	2403	2209
521	2408	2205
522	2412	2200
523	2417	2195
524	2422	2191
525	2426	2186
526	2431	2182
527	2436	2177
528	2441	2173
529	2445	2168
530	2449	2163
531	2454	2159
532	2458	2154
533	2462	2149
534	2467	2144
535	2472	2140
536	2477	2135
537	2481	2131
538	2486	2126
539	2491	2121
540	2495	2117
541	2500	2112
542	2504	2107
543	2508	2102
